Qty,Designators,Value,MPN,Manufacturer,Description,LCSC,Footprint,Price1k_INR,Ext_INR,Alt
1,"UB15","","TPS55340QRTERQ1","TI","boost 12->15.0 V (sense-bias rail V15, ~6 W) — automotive Q1 grade stocked on LCSC. RATINGS OF THE FITTED Q1 PART (TPS55340-Q1 DS SLVSBV5C 6.1/6.3, round 13 A11-R03): VIN 38 V recommended max / 40 V absolute (SW 40 V); the commercial TPS55340 is 32 V / 34 V and must NOT be substituted on the Q1 approval",C2070860,"WQFN16",140,140,"LM5155-Q1 (controller — a redesign, not a drop-in); commercial TPS55340RTER C169167 for PROTO ONLY (34 V abs max)"
3,"U5LB U5LC UGDL","","NCV4276CDT50RKG","onsemi","5 V LDO from V15 for one UCC12051-Q1, behind the R5L 47 R ballast (round 14, A12-R07): 96 mA worst (80 mA no-load MAX + AMC1311) -> LDO 0.5 W / Tj ~115 C on the 58.5 K/W DPAK reference pad (was 0.96 W / 141 C without the ballast); >= 1.2 in2 of 2 oz copper stays (dfm 4); INH tied to IN — one per channel keeps the two VDC biases independent (F4) and halves the dissipation (round 12; thermal per A11-R04)",CLASS,"DPAK",32,96,"NCV4949 class"
2,"QFH QFL","","BUK7Y14-80E","Nexperia","80 V logic-level NFET LFPAK (flyback switch; LCSC-stocked)",C86732,"LFPAK56",25,50,"SQJ850EP class"
2,"CY1 CY2","4.7nF","VY1472M63Y5UQ6TV0","Vishay","Y1 4.7 nF disc, 500 VAC / 1500 VDC (X1 760 VAC), Y5U, D 16 mm x T 5 mm, 10 mm kinked leads (DS 28537) — bus-to-chassis at 850 Vdc; Y2 (250 Vac line class) is NOT sufficient here (finding F2). Bound A.12 (was a class placeholder)",CLASS,"DiscP10",22,44,"Murata DE1E3RA472MJ4BP01F (Y1 300 VAC / 1500 VDC, 12 mm — lower AC class) / VY1472M63Y5UQ6TL0 straight leads"
2,"UFH UFL","","UCC28C40DR","TI","current-mode PWM controller SOIC-8, UVLO 7.0/6.6 V (F31: the C43 grade is 8.4/7.6 per SLUS458I and cannot start at 9 V cold-crank through the trickle — C40 grade required). ~250 kHz operation (F32)",CLASS,"SOP8",22,44,"UCC28C41DR (50 % duty) / NJW4140R via DigiKey — NOT UC2843B (8.4/7.6 UVLO)"
1,"LB15","10uH","XAL4040-103MEC","Coilcraft","boost inductor 10 uH molded shielded, AEC-Q200 (UB15 ~580 kHz; Ipk < 1 A at 0.33 A load)",CLASS,"XAL4040",35,35,"XGL4040-103 / any 10 uH Isat>=3 A"
22,"DFHA DFHSN DFLA DFLSN DUHR DUHS1 DUHS2 DULR DULS1 DULS2 DVHR DVHS1 DVHS2 DVLR DVLS1 DVLS2 DWHR DWHS1 DWHS2 DWLR DWLS1 DWLS2","","US1M","Yageo/MDD","1 kV 1 A fast diode SMA (DESAT chain, 2 in series; trr <= 75 ns)",C412437,"SMA",1.2,26.4,"US1MDFQ-13 / ES1M — fast recovery only, never an M7-class 1N4007 (round 12, R1-F11)"
6,"RUHON RULON RVHON RVLON RWHON RWLON","3.3","R2512-3R3-2W","any","gate turn-on 3.3 R 2512 (HCS600 DS characterized point: Eon 17.85 mJ @600 A/150 C — the loss model uses exactly these energies; DPT may lower it only inside the overshoot/EMC budget)",CLASS,"R2512",4,24,"any thick-film pulse 2512"
6,"RUHOFF RULOFF RVHOFF RVLOFF RWHOFF RWLOFF","6.8","R2512-6R8-2W","any","gate turn-off 6.8 R 2512 — DPT start value: at the DS 3.3 R point tf is 13 ns cold (~30 kA/us at 481 A), which cannot hold 1080 V at 850 V with an EconoDUAL-class loop; 6.8 R ~halves di/dt for ~+15 mJ Eoff (review A.6 F01/F40). DPT moves it within 3.3-10 R",CLASS,"R2512",4,24,"any"
16,"CLVH1 CLVH2 CLVL1 CLVL2 CUHB2 CUHV1 CULB2 CULV1 CVHB2 CVHV1 CVLB2 CVLV1 CWHB2 CWHV1 CWLB2 CWLV1","4.7uF","MLCC-4.7uF-50V","any","driver VCC2 bulk (3x on layout)",CLASS,"C1206",1.5,24,"any X7R"
2,"CFHA CFLA","47uF","MLCC-47uF-25V-X7R","any","UCC28C40 VDD reservoir 47 uF 1210 X7R/X6S (~37 uF effective at 7 V; review A.6 F18: the C40 has only 0.4 V UVLO hysteresis — one start burst must reach aux-winding takeover; 4.7 uF never starts at 9 V, 22 uF stalls at the all-worst corner — S1)",CLASS,"C1210",10,20,"any"
1,"JPE","","STUD-M6","local","PE / chassis stud",CLASS,"StudM6",18,18,"M8"
6,"DUHSB DULSB DVHSB DVLSB DWHSB DWLSB","","BAT64-04","Infineon","dual Schottky SOT-23 (DESAT charge path, per GEN3)",CLASS,"SOT23",3,18,"BAT54S"
2,"FH1 FL1","","MF-LSMF300/24X-2","Bourns","polyfuse 3 A 24 V (12 V feed per flyback chain — GEN3 exact; exact part on LCSC, 7k+ stock)",C719172,"PTC2920",8,16,"RUILON SMD2920 class"
1,"ULDO15","","NCV4276CDTADJRKG","onsemi","V15 protective post-regulator: 40 V-in 400 mA adjustable LDO (DPAK-5) — clamps the boost pass-through path at 15.0 V for the QA01C window",CLASS,"DPAK5",14,14,"any 40 V 0.4 A adj LDO (NCV4275A)"
6,"RUHPD RULPD RVHPD RVLPD RWHPD RWLPD","1M","HV73-1M-1206","Vishay","1 M HV-rated gate pulldown AT the module pins (GEN3: do not substitute non-HV)",CLASS,"R1206",2,12,"TT HVC class"
12,"RVBD1 RVBD2 RVBD3 RVBD4 RVBD5 RVBD6 RVDD1 RVDD2 RVDD3 RVDD4 RVDD5 RVDD6","470k","R1206-470k-TF","Vishay/Yageo","470 k 1206 thin-film 200 V (divider ch1 top, 6 series)",CLASS,"R1206",1,12,"any 0.1% thin-film"
2,"DRH DRL","","NRVBAF360T3G","onsemi","60 V 3 A Schottky reverse protection (GEN3 exact)",CLASS,"SMA-flat",6,12,"Yangjie SS36AQ C698868 (std SMA pads — footprint delta)"
2,"DTVH DTVL","","TPSMC24CA-VR","Littelfuse","24 V STAND-OFF bidirectional TVS 1.5 kW, SMC, AEC-Q101: V_BR 26.7-29.5 V so it is dark at the 24 V/60 s jump start, V_C 38.9 V at 38.6 A (<= 33 V at the 10-15 A of a load dump, under the fitted TPS55340-Q1's 38 V recommended / 40 V abs max (round 14: the 34 V figure was the commercial part's)). Round 12 (R1-F14/R2-F10, Opus check): the notes had quoted the CLASSIC TPSMC24CA (V_BR 22.8-25.2 V), which conducts at 24 V — the archived sheet and the LCSC code were the -VR class all along, now bound explicitly. ISO 16750-2 test B (35 V, 400 ms) at Ri 0.5/2/4 ohm is 330/100/55 W into the TVS; no SMC datasheet rates pulses beyond 1 ms, so NO 400 ms case is covered on paper at any Ri (round 14, N03: the earlier 'Ri >= 4 ohm covered' wording was wrong) — the OEM Ri and supplier long-pulse data or a pulse test are gate 27 (the 5.0SMDJ24CA 5 kW option is not AEC-Q101)",C1975284,"SMC",6,12,"SMCJ24CA / 5.0SMDJ24CA (5 kW, not AEC-Q101) — 24 V stand-off class only; never the classic TPSMC24CA"
2,"CB15O1 CB15O2","22uF","MLCC-22uF-50V","any","boost output caps 22 uF 1210 50 V — V15B follows V12L−Vf in pass-through, up to the ≈33 V clamped load dump (round 7 RR10: was 25 V); same part as CLVC2",CLASS,"C1210",6,12,"any X7R/X7S 50 V"
7,"C5G2 CUHE1 CULE1 CVHE1 CVLE1 CWHE1 CWLE1","10uF","MLCC-10uF-25V","any","VEE2 reservoir",CLASS,"C1206",1.5,10.5,"any X7R"
13,"DUHZ2 DULZ2 DVHZ2 DVLZ2 DWHZ2 DWLZ2 ZASC ZUHV ZULV ZVHV ZVLV ZWHV ZWLV","","BZT52-C5V1","any","5.1 V gate clamp zener (negative excursion)",CLASS,"SOD123",0.5,6.5,"MMSZ5231B"
1,"JDIS","","HDR-1x4-2.54","any","discharge-board control link (V15 / QDIS_CMD / GND x2) — locking header at layout",CLASS,"HDR1x4",6,6,"JST-XH 4p"
2,"R5LB R5LC","47","R2512-47R-1%-1W","any","bias-LDO input ballast 47 R 2512 1 W (round 14, A12-R07): 0.43 W at the 96 mA production worst case, 4.5 V drop leaves >= 9.8 V at the LDO input; splits the 15 -> 5 V dissipation so the DPAK stays under 120 C",CLASS,"R2512",3,6,"2 x R1206-100R in parallel"
4,"C5B1 C5C1 C5LB2 C5LC2","10uF","MLCC-10uF-16V-X7R","any","bias LDO output / UCC12050 VINP cap 10 uF 16 V X7R +/-10 % (TI Table 8-1)",CLASS,"C1206",1.5,6,"any X7R 16 V"
1,"JHVIL","","HDR-1x2-2.54","any","HVIL loop pass-through (to HV connector interlock pins)",CLASS,"HDR1x2",4,4,"any"
8,"DFHVZ DFLVZ DUHZ1 DULZ1 DVHZ1 DVLZ1 DWHZ1 DWLZ1","","BZT52-C18","any","18 V gate clamp zener (stack with 5V1)",CLASS,"SOD123",0.5,4,"MMSZ5248B"
2,"RFHCS RFLCS","330m","R1210-0R33-0.75W","any","flyback current sense 0.33 R -> 3.0 A pk limit (F1 corrected the 0.033 R no-limit; F32 sized the limit as the 10 uH core saturation guard, 2.5x the 1.2 A DCM operating peak)",CLASS,"R1210",2,4,"2x 0R68 0805 parallel"
2,"ZFHSN ZFLSN","","SMAJ13A","any","flyback primary clamp TVS 13 V standoff, returned to the 12 V rail (drain <=60 V worst vs 80 V FET)",CLASS,"SMA",2,4,"SMBJ13A"
13,"RASCE1 RASCPD RPD0 RPD1 RPD10 RPD2 RPD3 RPD4 RPD5 RPD6 RPD7 RPD8 RPD9","10k","R0603-10k","any","UCC14141-Q1 ENA divider top from V15 (10 k/4.7 k: 4.65-4.94 V, above V_EN_IR 2.1 V, under 5.5 V)",CLASS,"R0603",0.3,3.9,"any"
4,"DTVSH DUTP DVTP DWTP","","PESD5V0U1UA","Nexperia","HVIL line ESD clamp",CLASS,"SOD323",0.8,3.2,"any"
2,"CASCI1 CASCI2","10uF","MLCC-10uF-25V-X7R","any","UCC14141-Q1 VIN bulk 2 x 10 uF (DS Table 9-2: CIN 20 uF + 0.1 uF), 25 V X7R at the 15 V rail",CLASS,"C1206",1.5,3,"any X7R 25 V"
2,"CASCO CB15I","10uF","MLCC-10uF-50V","any","UCC14141-Q1 COUT1 10 uF at VDD-VEE (DS Table 9-2; the board's 100 nF sits at the load), 50 V X7R for DC bias at 18 V",CLASS,"C1210",1.5,3,"any X7R 50 V"
9,"CB15CC CFHVR CFLVR CUHIN CULIN CVHIN CVLIN CWHIN CWLIN","100nF","MLCC-CLASS","any","MLCC, buy to value/voltage on sheet",CLASS,"C0603",0.3,2.7,"any"
8,"RFHSN RFLSN RUHDS RULDS RVHDS RVLDS RWHDS RWLDS","100","R0805-100R","any","DESAT series resistor",CLASS,"R0805",0.3,2.4,"any"
8,"CASC CASCIB CUHB1 CULB1 CVHB1 CVLB1 CWHB1 CWLB1","100nF","MLCC-100nF-50V","any","driver VCC2 decoupling",CLASS,"C0603",0.3,2.4,"any X7R"
7,"RFHFS RFLFS RHVL1 RHVL2 RUTS RVTS RWTS","100","R0603-100R","any","HVIL loop series",CLASS,"R0603",0.3,2.1,"any"
2,"DFHG DFLG","","PMEG4010EH","Nexperia","40 V Schottky (gate turn-off steer)",C282566,"SOD123",1,2,"B5819W"
4,"QFHE1 QFHE2 QFLE1 QFLE2","","2N7002","any","enable clamp NFET (default-OFF COMP clamp — UCC28C4x has no EN pin)",C8545,"SOT23",0.5,2,"BSS138"
2,"RVBDL RVDDL","6.2k","R0603-6k2-0.1%","any","divider ch1 bottom (850 V -> 1.87 V; 2 V FS = 911 V so the OV witness never saturates — F27)",CLASS,"R0603",1,2,"any 0.1%"
2,"LFH1 LFL1","1uH","FB-120R-3A","TDK/Murata","ferrite bead 120 R @100 MHz, 12 V pi filter",CLASS,"FB1206",1,2,"any"
6,"RUHMC RULMC RVHMC RVLMC RWHMC RWLMC","0R","R0805-0R","any","Miller-clamp link CLAMP->gate node (0 R, per GEN3 practice)",CLASS,"R0805",0.3,1.8,"any"
6,"RUHGS RULGS RVHGS RVLGS RWHGS RWLGS","10k","R0805-10k","any","gate-source bleed 10 k at driver",CLASS,"R0805",0.3,1.8,"any"
6,"CUHBL CULBL CVHBL CVLBL CWHBL CWLBL","47pF","MLCC-47pF-100V","any","DESAT blanking 47 pF C0G (SiC: 0.9 us typ / 1.4 us worst blank; <=1.9 us to detection)",CLASS,"C0603",0.3,1.8,"C0G only"
6,"RUHBL RULBL RVHBL RVLBL RWHBL RWLBL","5.1k","R0805-5k1","any","secondary bleeder VCC2-VEE2 5.1 k",CLASS,"R0805",0.3,1.8,"any"
2,"CFHSN CFLSN","100pF","MLCC-100pF-500V","any","RCD snubber C",CLASS,"C1206",0.8,1.6,"C0G"
2,"CFHFS CFLFS","100nF","MLCC-100nF-50V-SOFT","any","FB-sense hold cap 100 nF, soft-termination (fail-open) MLCC: a flex-crack short would force FB = 0 and full duty with only the 18 V VDD zener as a clamp (round 7 cross-check 6c); 6.7 ms decay into the 67 k divider",CLASS,"C0603",0.8,1.6,"Murata GCJ / TDK CGA soft-termination X7R"
3,"C5G1 C5LB1 C5LC1","1uF","MLCC-1uF-50V","any","bias LDO input cap on V15",CLASS,"C0805",0.5,1.5,"any X7R 50 V"
3,"DASCR DFHFS DFLFS","","1N4148WS","any","FB-sense rectifier off the aux winding — the start feed can no longer hold FB up (round 7 A6-R07)",C2128,"SOD323",0.4,1.2,"BAS316"
2,"ZFHG ZFLG","","BZT52-C15","any","15 V protective gate zener — dark at the 11.8 V drive (rev A.4.2: 5.6 V part conducted all ON-time)",CLASS,"SOD123",0.5,1,"any"
1,"RASCG","2.2k","ESR03EZPF2201","ROHM","ASC drive series 2.2 k, anti-surge thick film 0.33 W at 70 C (0.27 W at 85 C, 1 kOhm < R row), AEC-Q200: with ZASC it clamps the opto swing to <= 5.1 V (F28) and dissipates up to 0.09 W for as long as ASC is held (UCC14141-Q1 at 18.6 V into the clamp; was 0.12 W on the QA01C-18) — a 0.1 W 0603 is 0.08 W at 85 C (round 10, S9-01)",CLASS,"R0603",1,1,"Panasonic ERJ-PA3F2201V"
1,"DB15","","SS34","any","boost rectifier 40 V 3 A",CLASS,"SMA",1,1,"B340A"
3,"CUTF CVTF CWTF","2.2nF","MLCC-2.2nF-50V","any","module NTC filter",CLASS,"C0603",0.3,0.9,"any"
3,"RULAS RVLAS RWLAS","1k","R0603-1k","any","LS ASC pin series 1 k at the driver: the shared 12 nF ASC node must not drive each pin's clamp cells with its Kelvin-source L*di/dt (round 7 cross-check)",CLASS,"R0603",0.3,0.9,"any"
3,"RFHRT RFLRT RLD2","10k","R0603-CLASS","any","flyback gate/timing network (10R drive, 20R off, 51k G-S, 100R CS filter, 10k RT, 100k EN)",CLASS,"R0603",0.3,0.9,"any"
3,"RFHEN RFLEN RGDLE","100k","R0603-CLASS","any","flyback gate/timing network (10R drive, 20R off, 51k G-S, 100R CS filter, 10k RT, 100k EN)",CLASS,"R0603",0.3,0.9,"any"
2,"RFHST RFLST","2.2k","R1206-2k2","any","UCC28C40 VDD trickle-start 2.2 k 1206 (review A.6 F18: 4.7 k needed 8.47 V at the 12 V node worst-case; 2.2 k needs 7.95 V; 0.1 W at a 24 V jump start)",CLASS,"R1206",0.4,0.8,"any 1206"
2,"RFHG RFLG","10","R0603-CLASS","any","flyback gate/timing network (10R drive, 20R off, 51k G-S, 100R CS filter, 10k RT, 100k EN)",CLASS,"R0603",0.3,0.6,"any"
2,"RFHGO RFLGO","20","R0603-CLASS","any","flyback gate/timing network (10R drive, 20R off, 51k G-S, 100R CS filter, 10k RT, 100k EN)",CLASS,"R0603",0.3,0.6,"any"
2,"RFHGS RFLGS","51k","R0603-CLASS","any","flyback gate/timing network (10R drive, 20R off, 51k G-S, 100R CS filter, 10k RT, 100k EN)",CLASS,"R0603",0.3,0.6,"any"
2,"RFHSI RFLSI","100","R0603-CLASS","any","flyback gate/timing network (10R drive, 20R off, 51k G-S, 100R CS filter, 10k RT, 100k EN)",CLASS,"R0603",0.3,0.6,"any"
2,"CFHSI CFLSI","100pF","MLCC-CLASS","any","flyback CT 680 pF / comp 22 nF + 47 pF / CS filter 100 pF / VREF 100 nF",CLASS,"C0603",0.3,0.6,"C0G for CT"
2,"CFHCT CFLCT","680pF","MLCC-CLASS","any","flyback CT 680 pF / comp 22 nF + 47 pF / CS filter 100 pF / VREF 100 nF",CLASS,"C0603",0.3,0.6,"C0G for CT"
2,"CFHCO CFLCO","22nF","MLCC-CLASS","any","flyback CT 680 pF / comp 22 nF + 47 pF / CS filter 100 pF / VREF 100 nF",CLASS,"C0603",0.3,0.6,"C0G for CT"
2,"CFHCF CFLCF","47pF","MLCC-CLASS","any","flyback CT 680 pF / comp 22 nF + 47 pF / CS filter 100 pF / VREF 100 nF",CLASS,"C0603",0.3,0.6,"C0G for CT"
2,"RFHFB1 RFLFB1","52.3k","R0603-1%","any","primary-side regulation divider 52.3k/15k on the separate FB-sense rectifier -> FFS 11.22 V, VCC2 15.4 V nominal / 14.0-16.7 V corners (round 7 A6-R06/R07; was 56k on VDD)",CLASS,"R0603",0.3,0.6,"any 1%"
2,"RFHFB2 RFLFB2","15k","R0603-1%","any","primary-side regulation divider 52.3k/15k on the separate FB-sense rectifier -> FFS 11.22 V, VCC2 15.4 V nominal / 14.0-16.7 V corners (round 7 A6-R06/R07; was 56k on VDD)",CLASS,"R0603",0.3,0.6,"any 1%"
2,"CVBDF CVDDF","1nF","MLCC-1nF-50V","any","ch1 input filter",CLASS,"C0603",0.3,0.6,"C0G"
2,"C5B2 C5C2","100nF","MLCC-100nF-25V","any","iso 5 V rail HF decoupling",CLASS,"C0603",0.3,0.6,"any"
1,"RASCF1","62k","R0603-62k-1%","any","UCC14141-Q1 FBVDD divider top: 2.5 V x (1 + 62 k/10 k) = 18.0 V",CLASS,"R0603",0.4,0.4,"any 1 %"
1,"RASCF2","10k","R0603-10k-1%","any","UCC14141-Q1 FBVDD divider bottom 10 k; FBVEE tied to FBVDD (single-output, DS Fig. 9-2)",CLASS,"R0603",0.4,0.4,"any 1 %"
1,"RASCE2","4.7k","R0603-4k7","any","UCC14141-Q1 ENA divider bottom",CLASS,"R0603",0.3,0.3,"any"
1,"CASCF","330pF","MLCC-330pF-50V-C0G","any","UCC14141-Q1 FBVDD noise filter 330 pF (DS Table 6-1: more slows the hysteretic loop)",CLASS,"C0603",0.3,0.3,"C0G"
1,"RASCL","270","R0603-270R-1%","any","ASC opto LED series 270 R 1 % from UASCG: 10.8-15.8 mA, inside the VOW3120 10-16 mA recommended I_F (I_FLH 8 mA max, 25 mA abs; V_F 1.0-1.6 V — the TLP152's 261 R would reach 16.4 mA at the hot/high corner). Round 7 — 470 R gave 5.4-7 mA",CLASS,"R0603",0.3,0.3,"any"
1,"CASCD","12nF","MLCC-12nF-50V-C0G","any","ASC break-before-make delay 12 nF C0G on the 1.8 k Thevenin: LS ASC >= 3.4 us after the latch sets; the HS are already turning off (FS0B -> DRV_EN on the FS1B path, eFlexPWM fault on the MCU path) (round 7 RR05)",CLASS,"C0603",0.3,0.3,"C0G only"
1,"CB15S","47nF","MLCC-CLASS","any","MLCC, buy to value/voltage on sheet",CLASS,"C0603",0.3,0.3,"any"
1,"RB15Q","80.6k","R0603-CLASS","any","resistor, buy to value/tolerance on sheet",CLASS,"R0603",0.3,0.3,"any"
1,"RB15F1","110k","R0603-1%","any","boost feedback divider (15.0 V)",CLASS,"R0603",0.3,0.3,"any 1%"
1,"RB15F2","9.53k","R0603-1%","any","boost feedback divider (15.0 V)",CLASS,"R0603",0.3,0.3,"any 1%"
1,"RB15C","2k","R0603-CLASS","any","resistor, buy to value/tolerance on sheet",CLASS,"R0603",0.3,0.3,"any"
1,"CB15C","470pF","MLCC-CLASS","any","MLCC, buy to value/voltage on sheet",CLASS,"C0603",0.3,0.3,"any"
1,"RLD1","49.9k","R0603-CLASS","any","resistor, buy to value/tolerance on sheet",CLASS,"R0603",0.3,0.3,"any"
1,"CLDC","220pF","MLCC-CLASS","any","MLCC, buy to value/voltage on sheet",CLASS,"C0603",0.3,0.3,"any"
1,"CLD15","22uF","MLCC-CLASS","any","MLCC, buy to value/voltage on sheet",CLASS,"C0603",0.3,0.3,"any"
1,"RHWID","22k","R0603-22k-1%","any","SKU identity (4XX SiC) — harness pin 2 against the card's 10 k pull-up to VREF5; firmware refuses DRV_EN unless it matches the loaded parameter set",CLASS,"-",0.3,0.3,"-"
1,"RPET","1M","R0603-CLASS","any","resistor, buy to value/tolerance on sheet",CLASS,"R0603",0.3,0.3,"any"
1,"CPET","4.7nF","MLCC-CLASS","any","MLCC, buy to value/voltage on sheet",CLASS,"C0603",0.3,0.3,"any"
