Source,ID,Review statement,Class,Verification,Action / where
Review 2,"A19-N01 (md, reviewer 2)",MINOR — the README gate names 0.29 Ω for the 35 V event where IR-16 says 0.37 Ω; **some component comments also retain the old ≈ 4.8–4.9 A diversion figures alongside the corrected ≈ 3.9 A**; mark them historical or generate the summaries from the final constants; BOM impact zero,**Confirmed**,"`boards/control-card.tsx` line 593 (""4.8 A peak decaying with tau = 59 us, rail then ~10 V"", unmarked, 18 lines above the corrected figure); `calculations/parts-db.mjs` RSX description (""4.9 A peak … I2R energy ~1.6 mJ""); `docs/vendor-requests.md` VR-33 (""4.8 A peak, τ ≈ 59 µs, 0.28 mC … ≈ 10.4–11 V … 0.28 mC at ≤ 11 V""); `docs/design-basis.md` §11q (""4.7 A / 60 µs""); `marine/design-basis.md` A.15 bullet (""4.9 A peak … 0.2 mJ"")","every one reads ≈ 3.9 A / 60 µs / 0.23 mC, rail ≈ 8.6 V (≤ 9.1 V), RSX ≈ 1.0 mJ (I₀²·R·τ/2 at 3.85 A) with the 8.5 V-class value marked; the card rebuilt and the BOMs regenerated (description text only, totals unchanged). **F208**"
Review 2,md — open gates,"T-40/41/42; QP-RX-04 step 2 / VR-16; step 2b / IR-42 / VR-17; QP-RX-05 / VR-33; IR-16 (actual fault-loop impedance or a qualified local limiting solution) — existing gates, not new defects",Already Fixed (gates exist and are open),"`qualification-plan.md`, `vendor-requests.md`, `interface-requirements.md`",none
Review 2,"md — ""no new MCU, amplifier, DC-link, brake chopper or power-stage redesign is justified""",—,Not Applicable (agreed),—,none
Review 3,md — A18-R01 / A18-R02 closed,"SMDJ7.0A-HRA primary, SMDJ7.0A prototype-only candidate, the 8.5 V configuration excluded; SQP10-220RJB15 primary with SQP10AJB-220R candidate in both 4XX BOMs; the 8XX population stays four 470 Ω with a 470 Ω candidate — the 4XX correction did not propagate wrongly",Already Fixed (round 20),"`docs/bom-discharge-igbt.csv` (8XX, 470 Ω); the two 4XX CSVs; the four card CSVs",none
Review 3,md — discharge times,"4XX 803 µF / 880 Ω ∥ 45 kΩ: 1.470 s (1.697 s); 8XX 323 µF / 1880 Ω ∥ 66 kΩ: 1.565 s (1.808 s); the old 4XX candidate 3.072 s (3.549 s) — no resistance change warranted; pulse energy, repeated discharge and stuck-switch behaviour stay separate",Already Fixed (F206) — the 8XX figure matches its own row,the discharge rows of the verification report,none
Review 3,md — back-drive at the current allocations,"24 V / 0.08 Ω: 9.021 V, 34.83 A, 3.84 A; 26 V / 0.14 Ω: 9.019 V, 34.66 A, 3.84 A; 35 V / 0.37 Ω: 9.038 V, 36.06 A, 3.85 A; τ ≈ 59.9 µs, 230–231 µC, 99 % of final voltage at ≈ 276 µs — ""the 60 µs time constant is not the end of the pulse""; wiring inductance, ESR, heating, current sharing and LDO reverse conduction excluded; PTC at the 23 °C minimum","Already Fixed (F207) — reproduces the row; QP-RX-05 already states ""99 % by 280 µs"" (4.6 τ)",verification-report back-drive row; QP-RX-05 pass criteria,none
Review 3,md — predicate execution,"24 assertions against the two new `erc-audit.mjs` predicates for SiC-8XX, IGBT-8XX, SiC-4XX and IGBT-4XX: current entries accepted, the original 8.5 V TVS entry and cross-variant resistor substitutions rejected, missing alternates handled; the predicates search text and do not qualify a part","Not Applicable (agreed — the round-20 disposition describes the locks as regression locks on the alternate text, not as qualification)",`calculations/erc-audit.mjs` (the TVSE-class and RDIS-value locks; mutation-tested in round 20),none
Review 3,md — firmware ID,"header and T-05/T-06 agree; this aligns the documentation, it does not create the validation record; the A.19 firmware changes were documentation",Already Fixed / gate exists (the T-05/T-06 record),as review 2,none
Review 3,md — open requirements,"QP-RX-04 step 2 / VR-16; step 2b; QP-RX-05 / VR-33; IR-16 and the cold PTC; target routing, register protection and timing — not new defects, not to be misreported as missing components",Already Fixed (gates exist and are open),—,none
Review 3,md — readiness,READY FOR POWER-OFF BENCH TEST; target-controlled HV/motor operation and production NOT READY,Not Applicable (position statement),matches this disposition,none
