Source,ID,Review statement,Class,Verification,Action / where
Review 2,A7-N05 note,per-file rename is not a whole-set transaction,Improvement Recommended → implemented,Correct.,"Two-phase publish: every temp file is written first, then all are renamed. A true multi-file transaction is not needed for a repository generator."
Review 2,Stored-pass note,a stored pass does not establish latent-fault coverage after every reset,Firmware Handled,"With the QDIS top-up, FW-16 now runs at every key-on with the contactors open. The stored pass covers only mid-drive MCU resets, inside the key-cycle diagnostic interval.",Stated in FW-16.
Review 2,V5A/V5GD gate,a bench result cannot waive an absolute maximum,= A8-01,—,"Resolved in hardware, not by bench."
Review 2,Battery-opening gate,not automatically a double fault,= A8-G02,—,Release rule.
Review 2,QDIS failed short,resistor-string containment,Already Fixed (tracked gate),—,Fusible/flameproof qualification stays a gate.
Review 2,Physical design / firmware,"symbolic MCU binding, executable firmware",Already Fixed (tracked: A6-R12/R13),—,Unchanged.
Review 2,OVP arithmetic,coherent under its assumptions,Agreed,—,A8-N01's entry change is carried in (906 V). No comparator or chopper added.
Cross-check,R9X-01,"MAJOR — a dead V5GD leaves the V_DC receivers at their +0.5 V offset: a valid ""0 V bus"", not ""invalid"" as §9 claimed",Confirmed,"The AMC1311 LV sides run on V5GD. Unpowered, they drive nothing, and each receiver reads its healthy-zero offset. 850 V could be reported as discharged.","V5GD is read on PTB5: RV5GP split into 2 × 47 k. FW-07 marks both channels invalid, and the firmware forces SPO, outside 4.75–5.25 V. §9 tells a V5GD loss apart by this reading. +₹0.3."
Cross-check,R9X-02,"MAJOR — the drawn harness numbers row by row: V5GD (pin 39) faced VDC1_P, VBAT_H faced ASC_CMD/QDIS_CMD, VBAT_L faced FLT_LS_N/RDY_HS; ""MICROFIT3-40"" does not exist",Confirmed,"Header(n, 2) puts pin k across from k+20, as Molex dual-row parts do; box/IDC headers use odd/even. My round-9 pin-39 reasoning assumed odd/even. Micro-Fit 3.0 dual row stops at 24 circuits.","HARNESS40 is re-laid so VBAT_H (19/20), VBAT_L (39/40) and V5GD (1) touch only ground or their own rail in both numberings. HW_ID moves to 2. The ERC checks both, and the layout picks the real family. JIC/JICC become a class MPN. Zero cost."
Cross-check,R9X-03,MAJOR — ULDOEX had IN and INH on VBATC: ≈ 0.9 mA in LPOFF; the parking row covered only the power board,Confirmed,NCV4276C: ≤ 10 µA with INH low; on above 2.8 V.,"ULDOEX INH → V5A (zero cost). The parking row now sums every unswitched load: ≤ 43 µA at 25 °C, ≤ 126 µA at 85 °C."
Cross-check,R9X-04,"MINOR — QLVS turn-on is limited only by its gate-drain charge: 9–31 A into ≈ 45 µF at every wake, VBATC dips ≈ 2 V",Confirmed,The 47 k drive left the slew to the Miller plateau.,"1 k + 100 nF drain-gate: ≈ 15 V/ms, ≤ 1.1 A. Computed row. +₹0.6."
Cross-check,R9X-05,MINOR — the ERC passed a QLVS/QLVN gate/source label swap and a V5A–V5GD diode,Confirmed,Reproduced by the reviewer's mutations.,QLVS/QLVN locked by pin number; no part may bridge V5GD to V5A; ULDOEX INH locked. Mutation-tested below.
Cross-check,R9X-06,"MINOR — a dead V5GD can hover at 1–4 V (module-NTC clamp diodes fed by 5.1 k pull-ups; DRV_EN/PWM through the input clamps), with FLT/RDY between thresholds",Confirmed (claim) → Firmware Handled + bench,Plausible: a dead V5GD carries little load.,"The PTB5 reading catches it. The firmware forces SPO, which also removes the EN/PWM path. The ""deterministic"" wording is qualified. Bench: V5GD off with both paths; if the NTC path alone holds V5GD up, re-reference the NTC clamps to a zener."
Cross-check,R9X-07,"MINOR — ""< 12 V read ⇒ ≤ 13 V"" assumed a 1 V error; the chain is ≈ ±9 V uncalibrated",Confirmed → Firmware Handled,The MCU ADC alone is ±3.3 V of bus per reading.,"FW-16 runs only if both channels read < 3 V (≤ 12 V true: ≤ 64 mJ 4XX), or after QDIS for 2 τ from any < 60 V reading (≤ 9.3 V: ≤ 38 mJ). Computed rows."
Cross-check,R9X-08,"MINOR — V5GD now switches with V5A, so an FS26 restart erases a latched DESAT; the next boot could re-arm into the same short",Confirmed → Firmware Handled,A direct consequence of N17.,FW-15 writes the DESAT to NVM first; §9 blocks automatic arming on a record from this or the previous key cycle.
Cross-check,R9X-09,MINOR — release rule (c) cannot restore ASC for the V5GD row or a lost feed,Confirmed (text),ASC is masked for V5GD; a lost feed also kills V15 and the ASC opto.,(c) limited to total KL30 loss; the V5GD/feed row needs (a) or (b).
Cross-check,R9X-10,"NOTE — the V_GS row used KL30, not NRC; ""≤ 1 µA"" relied on 2N7002 leakage × 100 k",Confirmed,NRC ≈ KL30 − 0.5 V. 2N7002 leakage has no hot limit (vendors quote up to 500 µA at 125 °C).,"Row from NRC (−5.8 V at 9 V). Gate pull-up 100 k → 10 k with 4.7 k drive: a 50 µA hot leakage makes 0.5 V, under the 1 V V_GS(th) minimum."
Cross-check,R9X-11,NOTE — CASC/CQD are 25 V parts at up to 20.9 V; the datasheet circuit uses 100 µF and a loaded −Vo,Improvement Recommended → implemented,—,50 V parts at the same price; the bias bench item covers output capacitance and −Vo loading.
Cross-check,R9X-12,NOTE — stale texts; the fetched datasheets are not archived,Confirmed (text),—,"Fixed: the power.tsx CASCD comment, the UGDL description, the FW-12 wording. §11g is the A.7 history and stays as written. The QA01C-18, DMP6023LEQ and ESR03 PDFs are cited in EXTRACTED-PARAMS but not added to the repository without the owner's approval."
Cross-check,R9X-13,NOTE — MCU pads want their pull-ups on the pad rail; V5GD outlives V5A by 1–3 ms at power-down,Confirmed (documented),≤ 0.2 V over the pad rail in normal running; ≤ 0.9 mA per line at power-down.,Documented in §4c; inside the S32K39 injection rating.
Cross-check,R9X-14,NOTE — an FS1B held through a jump start runs RFS4 at 0.48 W for 60 s,Confirmed,"A 22 mA FS1B limits at 24 V, its pin reads high, and ABIST holds it.","Computed row: 18 V/60 min at 65 °C fits. 24 V/60 s is a WARN (1.47× nameplate, element ≈ 149 °C), accepted for this triple condition: the only effect is a disconnected FAULT_OUT on an already-shorted wire."
Cross-check,R9X-15,NOTE — a hard short on the power-board feed will likely destroy QLVS before a polyfuse trips,"Not Applicable (accepted, documented)",Damage after a primary fault; the feed is lost either way (SPO).,Documented; no DPAK part.
This round,N17,"Parking drain, ≈ 150 mA. VBAT_H/L came straight from the unswitched KL30 node, and the power board's whole LV side ran whenever KL30 was present, including while the vehicle slept: the V15 boost (EN tied to V12L), ULDO15, 2 × QA01C-18 (16–30 mA no-load input each), 2 × MGJ2, the V5GD LDO with six NSI6611 VCC1 and two AMC1311 LV sides, and both flyback controllers on their start feed. That drain would flatten a 12 V battery in about a week, and the FS26's own LPOFF achieved nothing.",Confirmed,,"Card-side switch on the feed: QLVS = Diodes DMP6023LEQ-13, found by a Sonnet agent and checked against Diodes DS39935 (P-ch −60 V, 28 mΩ at −10 V, SOT-223, AEC-Q101/PPAP; ""Advance Information"", so confirm production status at PO; alternative DMP6023LSS-13). It is driven by a 2N7002 from V5A: on while the FS26 is awake, MCU resets included, and ≤ 1 µA asleep. ZLVS (C15) clamps V_GS up to the 39 V TVS clamp; 47 k/100 k give −8.2 V at 12 V and −6.1 V at 9 V, with a soft ≈ 0.1 ms turn-on. The S1 start-up already begins at VDD = 0 V, so no start time is lost. +₹27.6."
This round,N18,"After A8-01, a V5GD loss and a pending DESAT both read FLT low at boot.",Confirmed,,"§9: FLT and RDY low on both banks, with both V_DC channels invalid (AMC1311 LV sides on V5GD), is a supply DTC, not a DESAT."
