Source,ID,Review statement,Class,Classification detail,Verification,Action / where
Review 1,R-F17,MAJOR — S1 is not a start-up model,Confirmed,"Confirmed (F66, F74)","True; physically the rail *is* Vin-independent once running (DCM), but start-up was never modelled",S1 now has a cycle-by-cycle start-up model (ported from the independent check)
Review 1,R-F18,MAJOR — 9 V start margin,Confirmed,Confirmed — worse than reported (F66),"4.7 k needs 8.47 V at the 12 V node (≈8.0–8.3 V at KL30 9 V) and the UCC28C40's 0.4 V UVLO hysteresis gives ≈0.15 ms bursts on 4.7 µF: never starts at 9 V, not even typical; 22 µF still fails the all-worst corner","2.2 k start, 47 µF VDD (one burst, 75–295 ms, every corner), 18 V VDD zener (the lower resistor would otherwise lift VDD past 18 V at a 24 V jump start with the flyback disabled — no internal clamp)"
Review 1,R-F19,MAJOR — transformer saturation/insulation,Already Fixed,Already Fixed (tracked),Isat unpublished was already a bench item,TDK working-insulation rating added to the vendor gates
Review 1,R-F20,MAJOR — 800 V bank not a 4XX bank,Not Applicable,Not Applicable to the 8XX product; addressed for the new 4XX SKUs,Correct for a 4XX product,4XX bank: 16 × 50 µF/600 V (≥22 A) in the same can positions of the same busbar
Review 1,R-F21,MAJOR — hot-frequency/life evidence,Improvement Recommended,Improvement Recommended,Worst ripple factor is 0.65 (was 0.62): 13.8 A/can vs 15.4 A at the 30 s peak,Factor corrected; hot/life + sharing = thermal test
Review 1,R-F22,MAJOR — discharge resistor pulse class,Improvement Recommended,Improvement Recommended (spec),"32 J/resistor (8XX), 28 J (4XX) vs ≥100 J class — fine, but the part must be bound","Spec: fail-open flameproof wirewound, ≥3 pulses/5 min; FW-17 repetition limit"
Review 1,R-F23,CRITICAL — QDIS stuck ON,Firmware Handled,Firmware Handled + spec,"384 W (8XX) / 284 W (4XX) with the battery connected; the old ""detected as a 2.2 kΩ load"" claim was wrong","FW-17 contactor-state interlock + timeout, FW-19 precharge plausibility, fail-open resistor class; no added hardware"
Review 1,R-F24,MODERATE — bleeder voltage at 920 V,Confirmed,Confirmed at 850 V (F68),Even at 850 V the low-tolerance part sees 184 V = 92 % of 200 V,"2 × 6 × 22 k: 154 V (77 %), same discharge times"
Review 1,R-F25,MODERATE — S5 double-counts the bleeder,Confirmed,Confirmed (F74),1829 Ω was already the parallel value,"S5 rebuilt: 1.81 s worst (8XX), 1.70 s (4XX)"
Review 1,R-F26,MAJOR — IGBT diode loss missing,Confirmed,Confirmed (F71),Also m·cosφ = 0 and energies at the DS 0.51 Ω,"Separate IGBT/diode dies, motoring + regen; 8XX IGBT rated at 5 kHz: 127 °C end of 30 s"
Review 1,R-F27,MODERATE — IGBT Qg scaled linearly,Confirmed,"Confirmed (minor, F71)",3.0 µC scaled vs ≈3.4 µC real,Full 4.36 µC used; bias budget still closes (72 % of the worst-part capacity with RT 8.2 k)
Review 1,R-F28,MAJOR — S4 not a validated model,Confirmed,"Confirmed (model, F74) + Already Fixed (coldplate tracked)",S4 started cold and used the wrong losses,"Initialized at continuous steady state, shared losses, every SKU; coldplate Rth stays the thermal-test gate"
Review 1,R-F29,MAJOR — geometry not verified,Already Fixed,Already Fixed (layout phase),Layout is an explicit later phase. The XM3 inductance was reused for a D3 module,Wording corrected (F76)
Review 1,R-F30,MAJOR — LV robustness,Improvement Recommended,Improvement Recommended,TVS/reverse/post-regulators exist; the new VDD clamp closes one more pin,DV plan per OEM ISO 16750-2/7637-2 contract
Review 1,R-F31,MAJOR — resolver validation,Firmware Handled,Firmware Handled,GEN3-derived AFE; diagnostics are firmware,FW-10
Review 1,R-F32,MAJOR — loop margin at 4–6 kHz,Confirmed,Confirmed (F74),10 kHz bandwidth was applied to the IGBT build,S6 per f_sw: ceilings 1.39 / 1.15 / 0.76 kHz at 10 / 8 / 5 kHz; per-SKU gains (§2)
Review 1,R-F33,MAJOR — ±900 A tight at 600 A rms,Not Applicable,Not Applicable as stated,Our 4XX ceiling is 400 A rms: 566 A peak + ripple ≈ 620 A = 69 % of the range,"A future 4XX-HP (≈560 A rms, 900 A module) needs a larger sensor — noted in variants.md"
Review 1,R-F34,MODERATE — CAN termination fixed,Improvement Recommended,Improvement Recommended,Correct for a mid-bus installation,Install note: termination DNP when not an end node
Review 1,R-F35,MAJOR — resolver shields to AGND,Improvement Recommended,Improvement Recommended — implemented (F75),Textbook: shield current does not belong in the analog reference,"Shields on the connector ground (DGND), zero cost; EMC test confirms"
Review 1,R-F36,MAJOR — checker scope overstated,Confirmed,Confirmed (doc),"The geometric check proves conversion, not datasheet truth",Wording corrected; the new value/MPN gate adds the missing layer (N1)
Review 1,R-F37,MODERATE — RSS labelled worst case,Confirmed,Confirmed (F76),Correlated top string; AMC1311B gain ±0.2 %,Worst ±2.1 % / RSS / calibrated ±0.3 % reported separately
Review 1,R-F38,MAJOR — SBC OTP not released,Already Fixed,Already Fixed,OTP manifest in design-basis §8a since A.4.4,Boot readback FW-12
Review 1,R-F39,MAJOR — automotive ordering codes,Improvement Recommended,Improvement Recommended,Procurement work,PPAP/traceability at RFQ
Review 1,R-F40,MAJOR — RG/dead time need DPT,Confirmed,Confirmed (with R-F01),Start values were faster than any characterized point,"3.3/6.8 Ω SiC, 1.0/1.0 Ω IGBT as SKU values; DPT matrix"
Review 1,R-F41,MAJOR — mechanical/coolant evidence,Already Fixed,Already Fixed (later phase),—,DV plan
Review 1,R-F42,MAJOR — calibration/NVM,Firmware Handled,Firmware Handled,—,FW-20
Review 1,R-F43,MAJOR — boot/update safety,Already Fixed,Already Fixed (hardware) + Firmware Handled,DRV_EN is inhibited through reset/boot/debug by pulldowns + FS0B (structurally verified),FW-21
Review 1,R-F44,MAJOR — ASIL-capable ≠ compliant,Already Fixed,Already Fixed,"design-basis §10 already says ""architecture capable of ASIL D; formal claim needs ISO 26262 work products""",—
Review 1,R-F45,MODERATE — BOM is planning data,Already Fixed,Already Fixed,"Labelled ""planning ±25 %""",—
Review 1,R-F46,MAJOR — OC/OV reaction allocation,Firmware Handled,Firmware Handled,"DESAT is SC protection (≈2.8× rated), not an operating limit",Allocation table + response times FW-05/FW-06
Review 2,RV-01,pinned implementation / BOM agreement,Already Fixed,Already Fixed + strengthened,,Three verification layers + the new value/MPN gate (N1); MCU package remains (R-F07)
Review 2,RV-02,regeneration with contactor open,Firmware Handled,Firmware Handled,,"R-F15, FW-06/FW-08"
Review 2,RV-03,back-EMF / ASC / demagnetization,Firmware Handled,Firmware Handled + motor gate,,"R-F13/F14/F16, §6"
Review 2,RV-04,SC/DESAT coordination,Confirmed,Confirmed/fixed + vendor gates,,R-F03/F04/F05
Review 2,RV-05,gate inhibition in reset/boot/brown-out,Already Fixed,Already Fixed,,"Pulldowns, FS0B, RDY, UVLO (erc-audit)"
Review 2,RV-06,polarity / torque sign / FOC,Firmware Handled,Firmware Handled,,commissioning
Review 2,RV-07,thermal validation,Bench gate,Bench gate,,R-F21/F28
Review 2,RV-08,LV / isolation / EMC / mechanical,Bench gate,Bench gate,,R-F29/F30/F35/F41
Review 2,RV-09,calibration / CAN / diagnostics / update / EOL,Firmware Handled,Firmware Handled,,"FW-11, FW-20, FW-21"
New (this round),N1,"BOM class MPNs had drifted from the netlist on 12 lines. RFS1–4 printed R0603-120R, which would re-create F40 (ASC latch at an indeterminate 2.5 V). CLVC2 printed 4.7 µF, re-creating F52. The IGBT BOM printed the SiC value next to the IGBT MPN",Confirmed,Confirmed,,parts-db corrected; SKU rows carry their value; bom-gen now fails on any value/MPN disagreement
New (this round),N2,"The UCC28C40 has 0.4 V of UVLO hysteresis and no VDD clamp — the true root of R-F18, and why the obvious fix (lower start resistor) needed a clamp",Confirmed,Confirmed,,47 µF + 18 V zener (F66)
New (this round),N3,Bias-bank capacity was quoted as 3.87 W; that is 100 % of the typical current limit before losses. At worst-case parts it is 2.3 W — 87 % loaded by the IGBT build's gate charge,Confirmed,Confirmed,,"IGBT SKUs fit RT 8.2 k (≈308 kHz, +22 %, 72 %); SiC unchanged at 58 %"
New (this round),N4,"The recommended ""fault-dominant"" latch fix would deadlock recovery (NSI6611 FLT reset needs an EN rising edge)",Confirmed,Confirmed,,See R-F06
New (this round),N5,"At the DS-minimum soft-off current (100 mA), the IGBT gate needs ≈6 µs to turn off a short circuit — the IGBT's whole 6 µs rating",Confirmed,Confirmed,,Release gate: I_STO distribution from NOVOSENSE + contained SC test per silicon
New (this round),N6,S32K396 package: parts-db 289-MAPBGA vs design-basis LQFP-176,Confirmed,Confirmed,,Part of the R-F07 binding task
New (this round),N7,"HC5FW 900-S/SP1 is the reduced-insulation (no sleeve) variant: 2.5 kV/1 min, 3.6 mm creepage, 2.7 mm clearance; a bare 850 V busbar through it is short of basic insulation",Confirmed,Confirmed,DS p.1 special feature + p.3 absolute ratings,"Insulating sleeve on each phase busbar through the aperture (design-basis §5), LEM confirmation = release gate"
New (this round),N8,"Both TLP152s (UQD, UASC) bridge LV to DC- but the base part is UL1577-only (3750 Vrms/1 min, 5.0 mm, no V_IORM) - the reinforced barrier rule is unproven",Confirmed,Confirmed,TLP152 DS p.1-4,"Procurement gate: TLP152(V4) with V_IORM >= 850 Vpk reinforced, else SO6L-class reinforced opto"
New (this round),N9,"FW-06 overvoltage response (<=100 us) was sized at 100 kW; at full 220 kW regen with the battery path lost a 100 us response ends at 962 V (96 % of the cans' 85 C U_N), 200 us (once-per-period sample at 5 kHz) at 1038 V",Confirmed,Confirmed,design-verify Regeneration rows,"FW-06 <= 20 us on a free-running V_DC ADC slot -> 897 V / 538 V (4XX); firmware only"
