Source,ID,Review statement,Class,Verification,Action / where
Review 2,A16-R04 (md),MAJOR — the LDO output absolute voltage credited as reverse-current qualification; restore it as a qualification dependency; no automatic replacement,Confirmed,as html R03,as html R03. **F192**
Review 2,md — LV input,37.505 V peak reproduced for the coded pulse model; centralised suppression remains an interface requirement,Already Fixed / arithmetic confirmed,`design-verify.mjs` LV A.16 rows; IR-03,none
Review 2,md — retain,"monitor resistors, /33X 1812, acquisition failure path, CAD variants, fail-closed target guards (the unbound IMCR definitions and the compile-time error are deliberate)",Firmware Handled / retained,`s32k396_board_cfg.h` — the placeholders are a build error by design (FW-24),none
Review 3,A16-R01 (csv),MAJOR — the actual charging branch excludes RSX while the proof uses I = V/2.2 and τ = 2.2·C; put limiting impedance in the actual branch or qualify it; firmware cannot limit capacitor charging current,Confirmed,as html R02,as html R02 (the limiting impedance IS RSX once the anode is on the amplifier node). **F191**
Review 3,A16-R02 (csv),"MAJOR — modulo-four count inference; timestamp from callback execution; late completion callbacks re-timestamp old data (a 900 µs-old frame stamped 800); a full-ring wrap disguises unequal generations (5/1/5 accepted); independent acquisition epoch/time, detect the servicing deadline before publish, re-acquire on ambiguity",Confirmed,"`sdadc_ring.c`: `t_start = now_us − period_us` from the callback time; `adv = (hw − done) % 4` (a lap → adv 0 → ""repeated interrupt""); `dma_within()` modulo 4; the frame stamp feeds `rslv_theta_e_at()` — a 100 µs stamp error is 24° at 10 000 rpm / 4 pp","**FW-35**: cadence-locked stamps (block k at t_origin + (k − k₀)·period; the SDADC data rate and the STM timer share one PLL), a servicing-deadline bound `cal_sd_irq_lat_max_us` before publish, self re-acquisition with an information DTC; tests for held-off interrupts, one lap, one channel lapping, all stalled, the reader preempted across a lap, wrap. **F197**"
Review 3,A16-R03 (csv),"MAJOR — rslv_theta_e_at() subtracts the positive SDADC/filter chain delay; a documented positive delay makes the represented instant earlier, requiring more extrapolation; −12°/−24° at 10 000 rpm for 25/50 µs; static zero calibration is insufficient",Confirmed,"`resolver.c` 168 (`− p->cal_rslv_latency_us`); `gen-params.mjs` 160 and `timing.md` define it as a positive delay [0, 200] µs; `test_resolver.c` 143–144 asserts the inverted behaviour","**FW-36**: sign corrected; header, parameter description, timing.md and the T-37 HIL row made unambiguous; the test replaced by a physical-time oracle (both directions, two speeds, two delays). **F198**"
Cross-check,xcheck18 / self-found,"The PTC current at a true 0 Ω external is 39.4–41.8 A at V_BR,min / cold (round 17 used V_BR,max: 37 A); IR-16's 35 V figure is 0.29 Ω, not 0.27 Ω; the negative fault at 0 Ω is 65 A and was never checked",Confirmed,Opus cross-check / firmware agent,"rows recomputed at the corner; IR-16 → 0.05 Ω at ≤ 26 V, 0.29 Ω at 35 V, 0.22 Ω negative (where IR-41 allocates one). F193"
Cross-check,xcheck18 / self-found,"The 9 J ""sheet point"" was the exponential-pulse rating read as rectangular and un-derated: ≈ 6.5 J at 25 °C, 5.3 J at 85 °C — the 35 V double-event TVS row (6.2 J) no longer passes on the 20 ms bound",Confirmed,Opus cross-check / firmware agent,the single-fault bounded region still passes (1.7 J); the 35 V row back to the double-event INFO it already was for the PTC side. F193
Cross-check,xcheck18 / self-found,"NEW: with the ECU asleep, a sustained short to 12.6–16 V leaves 1.5–3.8 W in the TVS after the PTC trips (P_TVS = V_BR·P_d/(V_S − V_BR)); the never-trip region (< 0.4 A) up to 4.2 W; T_J 137–307 °C on the sheet's pads",Confirmed (no reviewer had it),Opus cross-check / firmware agent,"computed WARN row; dfm.md island + thermal-coupling rule; QP-RX-04 step 2b release gate (12.6/14.4/16/24 V × 0–100 Ω, asleep and awake, −40/85 °C points); IR-42; VR-17; fail-safe end state documented. F193"
Cross-check,xcheck18 / self-found,RSX (0.25 W) carries the ALM2402's 0.93 A source limit during a powered negative fault until OTF: 1.9 W = 122 % of its 5 s overload rating; no row checked RSX,Confirmed,Opus cross-check / firmware agent,"RSXP/RSXN → ROHM ESR18EZPF2R20 (0.5 W anti-surge, AEC-Q200, same pad; overload 2.0 W for 5 s → 95 %); RSX row; ERC MPN lock. F194"
Cross-check,xcheck18 / self-found,"The Schottky was judged peak-vs-peak against a 140× wider pulse; Fig. 7 of the ALM2402 ends at 0.4 A, so ""0.8 V at 5 A"" was not a sheet value",Confirmed (metric),Opus cross-check / firmware agent,"I²t judge (7·10⁻⁴ vs 20 A²s, T_j(init) 25 °C only); text corrected. F191"
Cross-check,xcheck18 / self-found,"Gain band with the bound tolerances 1.98–2.18; the hold-current expression used 2.6 Ω of PTC not on the sheet; ""1.3 Ω cold"" and ""7.2 V pp at the winding"" had no sheet basis; the five-corner winding stack at 60 Ω is 6.48 V pp",Confirmed (documentation),Opus cross-check / firmware agent,as html amplitude remarks. F195
Cross-check,xcheck18 / self-found,"Stale card comments (SMCJ parts, 200 A, ""clamps below 12.8 V up to 40 A"")",Confirmed,Opus cross-check / firmware agent,comments rewritten with the round-18 figures
Cross-check,xcheck18 / self-found,"Firmware, self-found while fixing A16-R01 (no reviewer had them): the 1 ms task's current-loop liveness check compared the task's time with the ISR's newer entry stamp (a false ""control lost""); the FW-15 recovery timer took the task's time against the fault ISR's stamp (the ≥ 1.5 ms low could be skipped — the driver would not reset); the PWM-ASC entry took a caller's time as the high-side turn-off when the PWM was already inhibited (the dead-time wait could be skipped)",Confirmed (same class),Opus cross-check / firmware agent,"all three closed on the FW-22 rule — the bridge/task read their own clock, the bridge stamps every turn-off and the fault ISR notes the hardware inhibit — each with a fail-before test and a caught mutation; FW-34 lists them. F196"
