Source,ID,Review statement,Class,Verification,Action / where
Cross-check,R8X-07,MINOR — the harness-exposed discharge output shares USCH2 with both safety presets; V15 sits next to CMD on the 4-way header,Confirmed (header adjacency),"V15 comes from an NCV4276C (≥ 400 mA current limit). A V15–CMD pin short drives 15 V through the USCH2 3Y output clamp into V5A, taking out the package that carries both latch presets.","Header V15-GND-CMD-GND on both boards, locked by pin number. Zero cost. The 47 Ω and the separate buffer are not needed: CMD now has only GND neighbours (a short there is fail-safe), and RFCB turns any USCH2 killed by the harness into SPO plus an FW-16 fail."
Cross-check,R8X-08,"MINOR — lock-ins miss the FLT diode-OR, the FS1B back-feed by net and all of parts-db; two A.8 rows are fixed PASS",Confirmed,"The disposition's ""each fails when reverted"" claim was not true for these.","ERC +10 (864): • the diode-OR by net; • no part between FS1B_N and V5A, and only RFS2 on ASC_SET_N; • the dead-state pulls and both FLT filters; • the discharge header by pin number; • RPD8/RPD9; • first-match MPN per SKU (BAT46, B5V6, 1G08, 3G17, 1G74, 261R, 100k, 100pF). Both rows are now computed: the clamp against 6.5 V, and the mask release against the 22 µs DRV_EN drop. Each lock-in was mutation-tested (below)."
Cross-check,R8X-09,"MINOR — §7's ""re-pulsing holds DRV_EN high"" holds only for fast re-pulsing",Confirmed (claim),"Slow re-pulsing lets the latch re-set between pulses, and a post-mute rising edge is a valid reset (§8.10).",§7 and FW-15 step 3 qualified; FFLAG is cleared only in FW-15 step 4 and FW-16 step h. Zero BOM.
Cross-check,R8X-10,MINOR — ASC after a V5GD loss now depends on unpowered FLT-pin behaviour,Confirmed (claim now conditional),"DS 1.2 gives FLT ""HIZ"" with VCC1 off but no clamp data. The VCC1 absolute maximum and the 20 mA pin rating suggest a clamp.","Stated as conditional in §4c; added to the bench matrix. No hardware change: the fallback is SPO, as in §6's total-LV row, and ASC only matters there with the battery also lost (a double fault)."
Cross-check,R8X-11,NOTE — S4 is a bound only given the assumed plate pole,Confirmed (wording),The static-plate bound reproduces: 134.8 / 141.9 / 133.1 / 142.9 °C.,Reported as a sim-verify row (WARN: 8XX IGBT is at 95 % of 150 °C) until the thermal test; the wording is fixed wherever S4 was called a bound.
Cross-check,R8X-12,NOTE — a FLT glitch during PWM-ASC opens an SPO gap; FLT_LS_N has no filter,Improvement Recommended → implemented,"A glitch now drops ASC and latches SPO, and a DESAT has no automatic retry, so noise costs the drive. CFLTF sat only on FLT_HS_N.","CFLTF2 100 pF on FLT_LS_N (₹0.3). The DESAT assertion edge is not slowed, because the driver sinks it hard."
Cross-check,R8X-13,NOTE — commissioning check: ASC transient current vs the DESAT threshold,Improvement Recommended (commissioning),Valid.,§6: the ASC-entry peak at n_max with cold magnets must stay below the LS DESAT minimum (SiC ≈ 1.3 kA hot).
Cross-check,R8X-14,NOTE — §9 does not cover a driver FLT still latched at boot,Confirmed (doc gap) → Firmware Handled,"Reproduced: no arming, SPO with ASC masked.","§9 rule: DTC, FW-08b, then FW-15 recovery after step 6 and the FS0B release, under the one-retry rule."
Cross-check,R8X-15,NOTE — FW-08b after FLT_LS means seconds of rectified charge into the pack,Firmware Handled (vehicle integration),Valid.,FW-08b: the VCU friction-brakes below n_x; pack charge acceptance is an integration check; a BMS that opens early is the §6 double fault.
Cross-check,R8X-16,NOTE — UASCG 5.5 ns; FB-sense conduction; text slips; RQDM page,Confirmed (minor),"74LVC1G08-Q100: 5.5 ns max at 125 °C. The cross-check's ""+0.3 V"" is the steep-plateau case, which belongs to the slow-diode (low) corner, where the least drop is the conservative choice.","Entry budget +1 ns (7.07 µs unchanged). Conduction 100 / 50 / 20 % per corner (VCC2 13.57–16.89 V, still inside the window). Contract text fixed; RQDM moved to GATE-EN beside USCH2. This file is committed with the change."
Cross-check,R8X-17,"NOTE — the ""not coverable"" FLT paths can be covered from the MCU pins",Improvement Recommended → Firmware Handled,"Valid. The pad can only pull FLT low, which is fail-safe.","FW-16 step h, with the pad rule (output-enable toggle, data held at 0, re-lock). Zero BOM."
Cross-check,P-01,"MINOR — FAULT_OUT shorted to KL30 while FS1B is asserted is part-dependent; RFS4 0.23 W ""continuously""; BACKUP_SAFETY_PATH_FS1B unnamed",Confirmed (contract text); no hardware change,"The FS1B limit is 4–22 mA (Table 196), so there are two outcomes, and BACKUP_SAFETY_PATH_FS1B defaults to 1. ""Continuously"" is wrong: FS1B_TDUR (100 ms, Table 96) ends each assertion; only the boot hold (0.1–0.3 s) is longer. That is a short-time overload the 0603 takes.",FW-12 names both backup-path bits and TDUR = 100 ms. §9 describes both outcomes and the 100 ms FAULT_OUT pulse. A 1206 RFS4 is not needed.
Cross-check,P-02,NOTE — NXP Fig. 62's 10 nF at FS1B is not fitted,Already Fixed (tracked),Already an EMC-phase item (EXTRACTED-PARAMS §26).,Unchanged.
Cross-check,P-03,NOTE — NSI6611 FLT/RDY abs max is VCC1 (no +0.3 V); V5A can sit ≈ 0.2 V above V5GD,Improvement Recommended (bench),"0.2 V is below any clamp's conduction, but not proven.",In the R8X-10 bench matrix (V5A high / V5GD low).
Cross-check,P-04,NOTE — TLP152 T_opr is −40…100 °C,Already Fixed,"The board ambient is −40…+85 °C (design-basis §1), and the LED window is already computed to 100 °C.",None.
Cross-check,P-05,"NOTE — BOM lines merge by MPN, so DFLT1/2 show the BATSENSE description",Not Applicable (no functional effect),The merged BAT46ZFILM line and its alternate CDBW46-G are both Schottky. The per-designator requirement lives in parts-db and is now ERC-locked (R8X-08).,None.
Cross-check,P-06,NOTE — the ASC LED needs V5A ≥ ≈ 4.25 V cold to reach I_FLH,Not Applicable,"With 261 Ω, I_FLH is reached from V5A ≥ 4.10 V. The FS26 LDO2 undervoltage monitor trips at ≥ 4.35 V even at its lowest OTP setting (88 % − 1 %), so the UV reaction always comes first.",None.
This round,N12,"With the preset buffered, the FLT diode-OR's cold low level (V_OL + 1N4148 ≈ 1.0 V) sits at the Schmitt V_T− minimum",Confirmed,,DFLT1/2 → BAT46 (0.75 V worst)
This round,N13,"The NSI6611 DS is not consistent about the fault reset. §9.4 says hold ≥ t_FLT_MUTE; §8.10 and Fig. 8.8 say resets are ignored during the mute time, then any ≥ t_RST_FIL pulse releases FLT. The contract quoted only the first reading.",Confirmed,,"Contract §7 states both. FW-15's ≥ 1.5 ms low satisfies both. The cross-check (R8X-09) showed the RR03 argument holds only for fast re-pulsing; slow re-pulsing can deliver a valid post-mute reset, so that case rests on the eFlexPWM lock and the watchdog (§7 and FW-15 now say so)."
This round,N15,"The FS26 OTP table did not fix GPIO1's stage and slot. A slotted push-pull GPIO1 goes high at power-up (DS Table 133), which would raise gate power while FS1B still presets the ASC latch.",Confirmed,,"Design-basis §8a: GPIO1 push-pull, not slotted. FW-12 cross-references it. Zero BOM."
This round,N14,"S4's case node (τ 5 s) delayed plate heating, so the old 30 s result was not an upper bound",Confirmed,,Removed with R7-07 (+3 °C)
