Source,ID,Review statement,Class,Verification,Action / where
Review 1,R1-F27,MODERATE — fixed split termination is an endpoint assumption,Improvement Recommended,Correct.,Endpoint/DNP stuffing option noted on the part rule and the build label. F134
Review 1,R1-F28,MAJOR — automotive safety and environmental evidence is not established by component labels,Not Applicable to the schematic release (program work products),Correct and already stated in README/§11.,Unchanged.
Review 2,R2-F01,"CRITICAL — the MCU is a logical signal list, not a package-bound symbol; design-basis says LQFP-176",Already Fixed (tracked ①) + Confirmed (stale text),Correct; the pin freeze is the standing fabrication blocker. Design-basis §8 still said LQFP-176.,"Text: 289-MAPBGA, bound at the pin freeze. F134"
Review 2,R2-F02,"MAJOR — ""MGJ2D150505SC"" is not in the Murata catalogue",Confirmed,"Murata KDC_MGJ2: inputs 5/12/15/24 V, outputs +15/−5 … +20/−5 V only.",UCC12050 (see R1-F12). F125
Review 2,R2-F03,CRITICAL — the MGJ2's reinforced approval is 150 Vrms; 2.4 kV continuous is functional,Confirmed,As stated in the Murata safety table.,"UCC12050: V_IOWM 1200 Vrms / 1697 VDC, VDE 0884-11 reinforced. F125"
Review 2,R2-F04,"MAJOR — the drawn exciter filter gives |H(10 kHz)| = 0.178: 1.78 V pp from a 5 V pp SWG, not 8 V pp",Confirmed,"Independent nodal solve: 0.178 exactly. Worse than stated: the S32K39 SWG is 0.39–2.30 V pp (Table 40), so the drawn network gave ≈ 0.7 V pp. Cause: the MFB feedback pair was drawn swapped (C to the summing node, R to the inverting input) — a first-order 2 kHz roll-off. Their 560 pF screen keeps the wrong topology and reaches only 0.82.","Textbook MFB: REXA4 24 k output→summing node, CEXA1 220 pF output→inverting input, CEXA2 1.5 nF to ground: f0 17.9 kHz, Q 0.70, |H| 1.85 (±5 % over ±10 % caps) → 7.7 V pp; the SWG register is the firmware knob; excitation monitor unchanged. ERC by topology and value. Zero BOM. F124"
Review 2,R2-F05,CRITICAL — the IGBT SC point (800 V / 15 V / 175 °C) is not a guarantee at 850 V / 16.9 V,Already Fixed (tracked RR04) + gate wording,Correct.,Gate wording now names the 850 V / 16.7 V corner (R1-F06).
Review 2,R2-F06,CRITICAL — DESAT-to-current-extinction margin unproven,Already Fixed (tracked RR04/③),Correct.,Unchanged.
Review 2,R2-F07,"CRITICAL — the OV/driver-fault hardware routes are requirements, not demonstrated",Already Fixed (tracked ⑫/⑯),Correct.,Unchanged.
Review 2,R2-F08,CRITICAL — the SPO release criterion omits the stored winding energy (60.7 J vs 40.3 J),Confirmed,Same as R1-F01; their 0.35 mH figure is our S6 screening motor.,See R1-F01. F123
Review 2,R2-F09,CRITICAL — motor-dependent ASC and dead-LV safety are not closed,Already Fixed (tracked ⑥; §6 rules (a)–(c)),Correct; rule (a) is now complete.,Unchanged beyond R1-F01.
Review 2,R2-F10,MAJOR — the 24 V PTC is not coordinated with the 39 V-clamp environment,Confirmed (the TVS class),See R1-F14.,TPSMC24CA-VR bound explicitly; gate ㉓. F130
Review 2,R2-F11,MAJOR — VREF5 sits at the FS26 3.3 µF upper limit before tolerance,Confirmed (margin),CSB5 2.2 + CMA1 1 + CMA2 0.1 = 3.3 µF nominal; +10 % exceeds the window.,"CSB5 → 1 µF (0805 X7R 16 V, pinned in the BOM): 2.1 µF nominal, 1.2 µF at the worst minimum (−10 % tolerance, −15 %/−30 % DC bias for the 0805/0603 parts, −15 % cold, −5 % aging) and 2.8 µF at the maximum (+10 %, +5 % after reflow, +15 % over temperature). CMA1 stays 1 µF as the reservoir at the MCU VREFH pins. Computed row. Zero cost. F129"
Review 2,R2-F12,MAJOR — six-domain gate-power magnetics and cross-regulation need binding,Already Fixed (tracked ⑤/⑬),Correct.,Unchanged.
Review 2,R2-F13,MAJOR — an ESD suppressor does not clamp a continuous short-to-KL30 within the SDADC pin rating,Confirmed,(16 − 5.7 V) / 450 Ω = 23 mA into the pin against I_INJ 3 mA continuous (S32K39); 20 mA into the VMID buffer through 680 Ω. The resolver shares the vehicle connector with KL30.,"Opus check: the 3 mA is also the absolute maximum, both legs pull up through the winding, and 4.7 k with the 2.2 nF pin cap would have made a 7 kHz corner. So RSINF/RCOSF and RSIN/RCOS → 10 k (1.0 / 1.8 / 2.9 mA at 16 / 24 / 35 V; the VMID buffer sinks 2.7 mA), the caps rescaled to 47 pF + 100 pF differential with 22 pF common-mode on both legs (the P-only caps had converted common mode to differential): corner 47 kHz, −12° on both channels; source 20 k against Z_DIFF ≥ 215 k is a ratio-cancelled 9 %. Computed row, ERC values. Zero cost. F128"
Review 2,R2-F14,MAJOR — peak capacitor ripple has modest sharing margin,Already Fixed (tracked ④),See R1-F16.,Unchanged.
Review 2,R2-F15,MAJOR — the 4XX bank is a class specification,Already Fixed (tracked ⑧),Correct.,Unchanged.
Review 2,R2-F16,CRITICAL — a shorted QDIS with the battery connected is 384 W / 284 W into four 10 W resistors,Already Fixed (tracked ⑮) + candidate,FW-19 detects it at the next precharge; containment is the fail-open resistor — the qualification gate.,TE SQP10 candidate bound (R1-F17).
Review 2,R2-F17,MAJOR — the discharge pulse rating must be an exact part,Already Fixed (tracked ⑮) + candidate,See R1-F17.,—
Review 2,R2-F18,MODERATE — FW-05 mixes rms and instantaneous,Confirmed (documentation),See R1-F25.,F134
Review 2,R2-F19,MAJOR — FW-15 puts an NVM write ahead of the safe action,Confirmed (documentation),"The step read ""log which bank to NVM first"". The hardware chain has already forced the safe state, but the wording could be implemented as a blocking write.","Latch in retained RAM, queue the NVM write, never ahead of the §6 action. F134"
Review 2,R2-F20,MAJOR — the divider is not a 920 V-normal design,Already Fixed + note,Correct; see R1-F19.,variants.md note.
Review 2,R2-F21,MAJOR — the two V_DC channels share references and supplies,Already Fixed,Design-basis §6 states it; FW-07 reads VOFS and V5GD and cross-checks the BMS.,Unchanged.
Review 2,R2-F22,MAJOR — the Hall sensor insulation needs a qualified assembly,Already Fixed (tracked ⑩),Correct.,Unchanged.
Review 2,R2-F23,CRITICAL — no application firmware to verify,Not Applicable (separate deliverable),—,Unchanged.
Review 2,R2-F24,MAJOR — the S6 margin assumes double update (51° → 19° at 1.5 T),Improvement Recommended (documentation),Correct; the contract did not state the assumption.,§2 now states the 0.75 T_sw assumption and the 19° single-update figure. F134
Review 2,R2-F25,MAJOR — the thermal rating is conditional on an assumed cold plate,Already Fixed (tracked ④),Correct.,Unchanged.
Review 2,R2-F26,MODERATE — UEXD package metadata,Confirmed (documentation),See R1-F05.,F131
Review 2,R2-F27,"MODERATE — board NTCs drawn as headers, bought as 0603 NTCs",Confirmed,FW-13 calls them board NTCs; the NtcIn cell drew a 2-pin header.,On-board 0603 NTCs RTAMB/RTHS; symbol = BOM; ERC. F132
Review 2,R2-F28,MAJOR — power-board identity does not identify the capacitor assembly,Confirmed (process),See R1-F24.,EOL C/R measurement + kit traceability (dfm.md §4). F134
Review 2,R2-F29,MAJOR — kicad5-verify can exit 0 on an empty page set,Confirmed (tooling),Static reading confirmed: all counters start at zero.,Fails unless 4 sheets and ≥ 1500 pins were compared. F133
Review 2,R2-F30,MAJOR — generated-netlist parity is not component correctness,Improvement Recommended (tracked ①),The manufacturer pin manifest is the pin-freeze deliverable.,Unchanged.
Review 2,R2-F31,MAJOR — CLASS parts and generic alternates are not production specifications,Already Fixed (tracked: CLASS = buy to the printed rating; AVL at RFQ),The Y-cap working-voltage point is real → gate ⑳.,Gate ⑳ added.
Review 2,R2-F32,MAJOR — the safety lifecycle is not established by labels,Not Applicable (program),See R1-F28.,Unchanged.
Review 2,R2-F33,MODERATE — CAN termination must be position-configurable,Improvement Recommended,See R1-F27.,DNP option. F134
Review 2,R2-F34,MINOR — stale HW_ID pin 40 and LQFP-176 notes,Confirmed (documentation),Both found.,Both fixed. F134
Review 2,R2-F35,MAJOR — zero regen permission is not an open contactor,Confirmed (documentation),See R1-F02.,F134
