Qty,Designators,Value,MPN,Manufacturer,Description,LCSC,Footprint,Price1k_INR,Ext_INR,Alt
1,"JHVIL","","HDR-1x2-2.54","any","HVIL loop pass-through (to HV connector interlock pins)",CLASS,"HDR1x2",4,4,"any"
2,"RFHCS RFLCS","330m","R1210-0R33-0.75W","any","flyback current sense 0.33 R -> 3.0 A pk limit (F1 corrected the 0.033 R no-limit; F32 sized the limit as the 10 uH core saturation guard, 2.5x the 1.2 A DCM operating peak)",CLASS,"R1210",2,4,"2x 0R68 0805 parallel"
2,"CB15O1 CB15O2","22uF","MLCC-22uF-25V","any","boost output caps",CLASS,"C1210",2,4,"any"
4,"DTVSH DUTP DVTP DWTP","","PESD5V0U1UA","Nexperia","HVIL line ESD clamp",CLASS,"SOD323",0.8,3.2,"any"
6,"DUHZ1 DULZ1 DVHZ1 DVLZ1 DWHZ1 DWLZ1","","BZT52-C18","any","18 V gate clamp zener (stack with 5V1)",CLASS,"SOD123",0.5,3,"MMSZ5248B"
8,"RFHSN RFLSN RUHDS RULDS RVHDS RVLDS RWHDS RWLDS","100","R0805-100R","any","DESAT series resistor",CLASS,"R0805",0.3,2.4,"any"
2,"DFHG DFLG","","PMEG4010EH","Nexperia","40 V Schottky (gate turn-off steer)",C282566,"SOD123",1,2,"B5819W"
4,"QFHE1 QFHE2 QFLE1 QFLE2","","2N7002","any","enable clamp NFET (default-OFF COMP clamp — UCC28C4x has no EN pin)",C8545,"SOT23",0.5,2,"BSS138"
2,"RVBDL RVDDL","6.2k","R0603-6k2-0.1%","any","divider ch1 bottom (850 V -> 1.87 V; 2 V FS = 911 V so the OV witness never saturates — F27)",CLASS,"R0603",1,2,"any 0.1%"
2,"LFH1 LFL1","","FB-120R-3A","TDK/Murata","ferrite bead 120 R @100 MHz, 12 V pi filter",CLASS,"FB1206",1,2,"any"
6,"RUHMC RULMC RVHMC RVLMC RWHMC RWLMC","0R","R0805-0R","any","Miller-clamp link CLAMP->gate node (0 R, per GEN3 practice)",CLASS,"R0805",0.3,1.7999999999999998,"any"
6,"RUHGS RULGS RVHGS RVLGS RWHGS RWLGS","10k","R0805-10k","any","gate-source bleed 10 k at driver",CLASS,"R0805",0.3,1.7999999999999998,"any"
6,"CUHBL CULBL CVHBL CVLBL CWHBL CWLBL","47pF","MLCC-47pF-100V","any","DESAT blanking 47 pF (~1.5 us with chain — matches reference SC window)",CLASS,"C0603",0.3,1.7999999999999998,"C0G only"
6,"CUHB1 CULB1 CVHB1 CVLB1 CWHB1 CWLB1","100nF","MLCC-100nF-50V","any","driver VCC2 decoupling",CLASS,"C0603",0.3,1.7999999999999998,"any X7R"
6,"RUHBL RULBL RVHBL RVLBL RWHBL RWLBL","5.1k","R0805-4k99","any","secondary bleeder",CLASS,"R0805",0.3,1.7999999999999998,"any"
2,"CFHSN CFLSN","100pF","MLCC-100pF-500V","any","RCD snubber C",CLASS,"C1206",0.8,1.6,"C0G"
5,"RHVL1 RHVL2 RUTS RVTS RWTS","100","R0603-100R","any","HVIL loop series",CLASS,"R0603",0.3,1.5,"any"
1,"CB15I","10uF","MLCC-10uF-50V","any","boost input cap — 50 V rated for load dump (F25)",CLASS,"C1210",1.5,1.5,"any X7R 50 V"
2,"ZFHG ZFLG","","BZT52-C5V6","any","5.6 V FET gate zener",CLASS,"SOD123",0.5,1,"any"
1,"C5G1","1uF","MLCC-10uF-25V","any","VCC1 5 V rail caps",CLASS,"C1206",1,1,"any"
1,"DB15","","SS34","any","boost rectifier 40 V 3 A",CLASS,"SMA",1,1,"B340A"
3,"CUTF CVTF CWTF","2.2nF","MLCC-2.2nF-50V","any","module NTC filter",CLASS,"C0603",0.3,0.8999999999999999,"any"
2,"RASCL RQDL","470","R0603-470R","any","discharge opto LED series",CLASS,"R0603",0.4,0.8,"any"
2,"CASC CQD","100nF","MLCC-100nF-25V","any","discharge bias decoupling",CLASS,"C0603",0.3,0.6,"any"
2,"RFHG RFLG","10","R0603-CLASS","any","flyback gate/timing network (10R drive, 20R off, 49.9k G-S)",CLASS,"R0603",0.3,0.6,"any"
2,"RFHGO RFLGO","20","R0603-CLASS","any","flyback gate/timing network (10R drive, 20R off, 49.9k G-S)",CLASS,"R0603",0.3,0.6,"any"
2,"RFHGS RFLGS","51k","R0603-CLASS","any","flyback gate/timing network (10R drive, 20R off, 49.9k G-S)",CLASS,"R0603",0.3,0.6,"any"
2,"RFHSI RFLSI","100","R0603-CLASS","any","flyback gate/timing network (10R drive, 20R off, 49.9k G-S)",CLASS,"R0603",0.3,0.6,"any"
2,"CFHSI CFLSI","100pF","MLCC-CLASS","any","flyback CT 560 pF / comp 22 nF + 47 pF",CLASS,"C0603",0.3,0.6,"C0G for CT"
2,"RFHRT RFLRT","10k","R0603-CLASS","any","flyback gate/timing network (10R drive, 20R off, 49.9k G-S)",CLASS,"R0603",0.3,0.6,"any"
2,"CFHCT CFLCT","680pF","MLCC-CLASS","any","flyback CT 560 pF / comp 22 nF + 47 pF",CLASS,"C0603",0.3,0.6,"C0G for CT"
2,"CFHVR CFLVR","100nF","MLCC-CLASS","any","flyback CT 560 pF / comp 22 nF + 47 pF",CLASS,"C0603",0.3,0.6,"C0G for CT"
2,"CFHCO CFLCO","22nF","MLCC-CLASS","any","flyback CT 560 pF / comp 22 nF + 47 pF",CLASS,"C0603",0.3,0.6,"C0G for CT"
2,"CFHCF CFLCF","47pF","MLCC-CLASS","any","flyback CT 560 pF / comp 22 nF + 47 pF",CLASS,"C0603",0.3,0.6,"C0G for CT"
2,"RFHEN RFLEN","100k","R0603-CLASS","any","flyback gate/timing network (10R drive, 20R off, 49.9k G-S)",CLASS,"R0603",0.3,0.6,"any"
2,"RFHST RFLST","4.7k","R0603-CLASS","any","flyback gate/timing network (10R drive, 20R off, 49.9k G-S)",CLASS,"R0603",0.3,0.6,"any"
2,"RFHFB1 RFLFB1","56k","R0603-1%","any","primary-side regulation divider 18k/15k/1.3k (adjust for VCC level — GEN3 note)",CLASS,"R0603",0.3,0.6,"any 1%"
2,"RFHFB2 RFLFB2","15k","R0603-1%","any","primary-side regulation divider 18k/15k/1.3k (adjust for VCC level — GEN3 note)",CLASS,"R0603",0.3,0.6,"any 1%"
2,"CVBDF CVDDF","1nF","MLCC-1nF-50V","any","ch1 input filter",CLASS,"C0603",0.3,0.6,"C0G"
2,"C5B1 C5C1","1uF","MLCC-1uF-25V","any","iso 5 V rail decoupling",CLASS,"C0603",0.3,0.6,"any"
1,"RQDG","47","R0603-47R","any","discharge gate resistor",CLASS,"R0603",0.4,0.4,"any"
1,"RASCG","2.2k","R0603-2k2","any","ASC drive series (with ZASC clamps the 18 V opto to <=5.1 V — NSI6611 ASC abs max GND2+6 V, F28)",CLASS,"R0603",0.3,0.3,"any"
1,"C5B2","100nF","MLCC-1uF-25V","any","iso 5 V rail decoupling",CLASS,"C0603",0.3,0.3,"any"
1,"RB15F1","110k","R0603-1%","any","boost feedback divider (15.0 V)",CLASS,"R0603",0.3,0.3,"any 1%"
1,"RB15F2","9.53k","R0603-1%","any","boost feedback divider (15.0 V)",CLASS,"R0603",0.3,0.3,"any 1%"
1,"CB15C","10nF","MLCC-CLASS","any","MLCC, buy to value/voltage on sheet",CLASS,"C0603",0.3,0.3,"any"
1,"RPET","1M","R0603-CLASS","any","resistor, buy to value/tolerance on sheet",CLASS,"R0603",0.3,0.3,"any"
1,"CPET","4.7nF","MLCC-CLASS","any","MLCC, buy to value/voltage on sheet",CLASS,"C0603",0.3,0.3,"any"
