Source,ID,Review statement,Class,Verification,Action / where
Review 1,F23,MAJOR — torque_to_current() lacks a final voltage-feasibility witness,Confirmed,source order,final |v| check after the clamps; iq then id reduced; infeasible → zero torque + speed-limit request + DTC; motor-map sweep test. F155
Review 1,F24,MODERATE — KCL does not detect a stuck-at-zero channel at zero current,Confirmed (wording + coverage),logical counter-example holds,per-channel activity check above a current threshold; coverage table per operating state in the firmware docs; no fourth sensor. F156
Review 2,A12-R01,"CRITICAL — H5 is V15 (1.5 V, 2.75 V abs max), not a SAR reference; A.12 put VREF5 on it",Confirmed,DS figure: H5 V15; GEN3 net VCORE,"H5 → V15S; manifest, JSON, symbol, ERC lock. F143"
Review 2,A12-R02,"CRITICAL — J7 is V25 (regulator output, 140–220 nF), A.12 grounded it",Confirmed,DS figure: J7 V25; GEN3 net V25 with C79/C80,J7 → V25 + CV25 220 nF X7R 10 V; ERC lock. F143
Review 2,A12-R03,"MAJOR — the symbol's pin numbers are 65/77/94, the ball only in the name",Confirmed,traction-r1.lib X records,pages.mjs emits the ball as the pin number; kicad5-verify checks every MCU record against the manifest (mutation-detecting). F144
Review 2,A12-R04,MODERATE — CNMOS (1 nF) missing from the ballast network,Confirmed,DS Table 13,CBAL 1 nF C0G. F145
Review 2,A12-R05,"CRITICAL — the DESAT ISR drops MCU_GATE_EN at once, bypassing the 22–53 µs hardware delay",Confirmed,app.c:390 → br_spo(true),DESAT hold inside the bridge module for every caller (CAL 60 µs ≥ the RC upper corner + FLT); PWM inhibit immediate; regression tests. F146
Review 2,A12-R06,MAJOR — now_ms = us/1000 of a wrapping counter,Confirmed,app.c:33,"64-bit monotonic clock, ms derived consistently; every /1000 producer audited; wrap tests. F147"
Review 2,A12-R07,MAJOR — 76 mA does not cover the production UCC12051-Q1 (80 mA max no-load),Confirmed,SNVSBY2A §6.9,"96 mA budget; R5L 47 Ω ballast per LDO (LDO ≈ 0.5 W, Tj ≈ 116 °C); UCC12051-Q1 primary. F149"
Review 2,A12-R08,MAJOR — keep_hv speed-only while rule (b) applies at every speed,Confirmed,safe_state.c:63,"keep_hv from actual reliance on rule (b), held until rule (a) or ASC; through the CAN status. F148"
Review 2,N01,the UCC14141-Q1 VDE certificate is issued (40058888),Confirmed,archived (EXTRACTED §32),gate ㉔ residual closed at component level
Review 2,N02,the 1 µs ASC-exit parameter alone is not a shoot-through defect,False Finding (agreed),br_exit_asc timestamps after the pulse,no change; physical non-overlap stays a measurement
Review 2,N03,"stale DTVH/DTVL text (34 V, ""Ri ≥ 4 Ω covered"")",Confirmed (docs),BOM,texts corrected. F158
Review 2,lock witness,"""everything left is measurement"" was too strong",Confirmed,—,arming criteria distinguish configured / protected / host-tested / hardware-validated (F151)
Review 2,pin-map completeness,re-derive against an independent source; J6 label ambiguity,Confirmed,—,"GEN3 net report used as the oracle; J6 = VREFL_SAR_0123, J5 = VSS_DCDC per the netlist"
Review 3,A12-R01,H5 wrong voltage domain,Confirmed,as above,F143
Review 3,A12-R02,J7 is V25,Confirmed,as above,F143
Review 3,A12-R03,CAD pin numbers not physical,Confirmed,as above,F144
Review 3,A12-R04,DESAT ISR bypass; audit apply_decision/br_rec_start,Confirmed,all br_spo(true) callers listed,"hold enforced inside the bridge module, so every caller is covered. F146"
Review 3,A12-R05,low-speed retention missing from keep_hv,Confirmed,as above,F148
Review 3,A12-R06,timebase modulus mismatch,Confirmed,as above,F147
Review 3,A12-R07,production bias current,Confirmed,as above,F149
