Source,ID,Review statement,Class,Verification,Action / where
Review 2,A6-R01,CRITICAL — FS1B loading vs the 4 mA current-limit corner; ASC_SET_N 1.667 V > VIL; the checker used 22 mA and divided by 1000 twice,Confirmed (circuit + checker),"FS26 Rev 3 Tables 196/197: I_LIM 4–22 mA; V_OL ≤ 0.4 V only up to 2 mA; the SBC's own read-back calls the pin low only < 0.7 V. The 1 k pull-ups took 5.45 mA. At a 4 mA part, FS1B sat at 1.33 V and FS0B at 1.0 V, which would also trip the SBC's own short-to-high diagnosis.","RENP1/2 1 k → 5.1 k (NXP's recommended value for a VDDIO pull-up; already a BOM value). FS1B at V_OL, with the strap and a specified FAULT_OUT load: 1.79 mA ≤ 2 mA; ASC_SET_N ≤ 0.84 V vs 1.35 V; FS0B 0.93 mA. FAULT_OUT made sink-only (DFO, a BAT46 in series with RFS4; cross-check). A wire shorted to ground, a dead VCU input or a negative spike cannot preset ASC. A KL30 short is clamped at the latch (DSET). Interface specified (contract §9): the VCU pulls up ≥ 10 k to ≤ 5 V, reads ≤ 1.2 V; a 12 V pull-up is not allowed. Checker rewritten with the min-current corner. The slower 5.1 k FS0B edge goes through USCH channel 3."
Review 2,A6-R02,= RR01,Confirmed,—,See RR01.
Review 2,A6-R03,"= RR02 (buffer, or obtain a vendor letter)",Confirmed,—,See RR02. The buffer was chosen over a vendor letter: it closes the exception for ₹10 and needs no vendor action.
Review 2,A6-R04,= RR04,Confirmed (checker),—,See RR04: WARN release gate at both soft-off corners.
Review 2,A6-R05,"CRITICAL — ""HS DESAT ⇒ LS-ASC permitted"" is an unproven inference; three auto-retries",Confirmed (requirement),"FLT_HS/FLT_LS are bank reports, not a bridge-health diagnosis.","§6 FLT_HS row rewritten. The fault latch holds EN low, and the DS documents LS DESAT over ASC only with EN high. So the response is SPO first; after the FW-15 reset (≥ 1.5 ms), LS-ASC is permitted only as PWM-ASC (EN high, IN+ high). A failed-short HS then ends in LS DESAT: one bounded SC event, then SPO. The ASC latch alone is not used for this row. FW-15: no automatic retry after DESAT (one VCU-authorised retry per key cycle, ≥ 1 s, reduced torque; a second DESAT latches the DTC)."
Review 2,A6-R06,MAJOR — the VCC2 equation omits the aux rectifier drop,Confirmed,"A.6: FB on VDD, which sits behind the US1M aux diode, so the real rail was 16.9 V, not the 15.6 V claimed.","Fixed together with A6-R07. The FB divider senses a separate aux rectifier (1N4148WS + 100 Ω + 100 nF per chain) with 52.3k/15k. The equation now carries both diodes, V_FB 2.45–2.55 V, 1 % divider and zener 4.8–5.4 V. VCC2 = 15.4 V nominal, 13.54–16.7 V corners, inside a stated 13.5–17.0 V bias window (NSI6611 recommended min 13 V + margin; ≤ 17 V keeps the SC current near the 15 V DS data). The low corner includes the US1M drop at peak current and the FB bias (cross-check). It sits at the window edge, so the row is a WARN until the LV bench. The sense capacitor is a soft-termination MLCC, so a crack cannot short FB. S9/S10 and the soft-off rows use the corners."
Review 2,A6-R07,MAJOR — the start resistor can back-feed the regulated VDD node at high KL30,Confirmed (by calculation),"With the converter stopped, VDD settles where the start feed equals I_q plus the divider current. For a 1.5 mA controller (DS: 2.3 typ, no min) on a 16 V rail that is 12.3 V, above the 11.83 V target. At a 24 V jump start it reaches the 18 V clamp. FB then stays above 2.5 V, the controller never restarts and gate power is lost.","Separate FB-sense node (A6-R06): FFS is fed only by the winding and decays through the 67 k divider (τ 6.7 ms), so a stopped converter always restarts. Start threshold improves to 7.72 V (8.05 V available at 9 V). S1 is re-run without the divider on VDD: 176 / 240 ms typ/worst at 9 V, one burst. ₹1.1 per chain."
Review 2,A6-R08,= RR06,Firmware Handled,The reviewer's own RK4 run (10.3–20.2 µs at 100 kS/s) motivated the ≥ 200 kS/s requirement.,See RR06.
Review 2,A6-R09,bom-gen exits 0 with missing inputs,Confirmed,Code inspection agreed.,"Preflight of all four inputs before any write: missing, empty, malformed or older than its TSX source ⇒ abort with exit 1, no file written. Mutation-tested (missing, empty). Wrong-SKU input is not applicable: the netlists are SKU-independent and the variant is applied inside bom-gen. Input hashes / cardinality tags: Improvement, not needed."
Review 2,A6-R10,JSWD source 10-pin vs BOM 20-pin,Confirmed,Confirmed.,"Samtec FTSH-105-01-L-DV-K (2×5, 1.27 mm, keyed; Harwin/CNC alternates); pin map printed in the part spec. bom-gen now checks the connector contact count against the netlist."
Review 2,A6-R11,Stuck-on QDIS with contactors closed: 96 W/resistor (8XX); firmware cannot bound it,Confirmed (specification gap),"Arithmetic reproduced: 384 / 284 W total. A shorted FET ignores FW-17, and FW-19 sees it only at precharge.","No added hardware; the resistor becomes the qualified bound. The RDIS part spec now carries testable criteria: fusible/flameproof, opens at 70–100 W within 60 s, holds ≥ 1.2 kV DC after opening, contained HV fault test, hot and after repeated normal discharges. An HV fuse was rejected, as in A.6: it cannot tell the 0.45 A discharge pulse from the fault."
Review 2,A6-R12,MCU package binding,Already Fixed (tracked pre-layout gate),Acknowledged in the repository since A.6 (R-F07/N6).,Unchanged: the fabrication blocker.
Review 2,A6-R13,Full-system firmware evidence absent,Already Fixed (tracked; separate deliverable),The repository states it.,"The contract now gives HIL-closable numbers (FW-06 budget, §4c timing, FW-12 watchdog settings, FW-15 routing)."
Review 2,A6-R14,The flyback peak check used one transformer's Lp for the bank current,Confirmed (checker),Bank Lp = 10 µH/3.,2.05 A vs the 3.03 A limit (68 %). CS-resistor power recomputed with the DCM conduction duty: 0.099 W.
Review 2,README note,README retains older loss assumptions,Confirmed,Confirmed.,"README sizing block regenerated from the shared loss model: 329 W conduction, 225 W switching, 554/200 W → 122/90 °C, and so on."
Review 1 (other),,SiC turn-off still predicts ≈1104 V at 850 V / 481 A with an assumed 15 nH; 13.6 nH fits the 1080 V guard,Already Fixed (tracked),,Already an S8 WARN and the first DPT release gate: loop inductance and RG_OFF are set from the double-pulse test.
Review 1 (other),,MCU package/pin binding is a fabrication blocker,Already Fixed (tracked),,Same as A6-R12.
Review 1 (other),,"""Firmware Handled means specified, not executed""",Agreed,,"A6-R13. The contract now carries measurable budgets (FW-06, §4c, FW-12, FW-15), so HIL can close them."
This round,N10,"ASC opto under-driven. RASCL 470 Ω gives the TLP152 LED 5.4–7.0 mA at the V5A/V_F corners. The TLP152's guaranteed turn-on current I_FLH is up to 7.5 mA, and its recommended I_F is 10–15 mA. A worst-case unit might never assert ASC.",Confirmed,,"270 Ω: 10.6–13.5 mA, 71 % of the turn-on margin used. Zero cost."
This round,N11,"Latches not automotive-qualified. ULAT/ULAT2 were TI SN74LVC1G74DCUR, a catalog part with no AEC-Q100 variant. The rest of the safety logic is Q100.",Confirmed,,"Nexperia 74LVC1G74DC-Q100: pin-identical in VSSOP-8, Grade 1, same price. The TI part stays as the catalog alternate."
Cross-check,1,"CRITICAL: the draft DASC held EN low during every ASC. NSI6611 DS §8.12: with EN low and ASC high, DESAT is ""X"" (irrelevant). So a high side failing short during a commanded ASC would not be ended by the LS DESAT.",Confirmed (verified in the DS table),,DASC removed. MCU-path ASC is PWM-ASC with EN high; FS1B path is FS0B + CASCD. §6 FLT_HS and MCU-hang rows re-dispositioned; the NOVOSENSE statement is a release gate.
Cross-check,2,"MAJOR: with 5.1 k pull-ups, a FAULT_OUT short to ground (or a dead VCU input, or a negative spike) preset the ASC latch (1.47 V ≤ VIL).",Confirmed,,DFO makes FAULT_OUT sink-only and DSET clamps a KL30 short; lock-in and design-verify rows added.
Cross-check,3,"MAJOR: the boot rules cleared a reset-surviving ASC blindly. Also, FS1B is asserted at every POR (FS26 §22.11.3, verified), so the boot clear did not stick and ASC engaged when gate power came up.",Confirmed → Firmware Handled,,§9 re-ordered (speed known → release FS0B/FS1B → latch decision → gate power → arm); FS_GPIO1 low until then (FW-12).
Cross-check,4,"MINOR: an unpowered USCH has Hi-Z outputs, and FS0B-path coverage was EOL-only.",Confirmed,,100 k pull-down on FS0B_B; DRV_EN and ASC_CMD read-backs; FW-16 boot test.
Cross-check,5,"MINOR: CASCD makes ASC_DRV stiff, while each LS ASC pin sits on its own Kelvin source (L·di/dt against the pin's −0.3/+6 V abs max).",Confirmed,,"1 k at each LS ASC pin (GateDrive cell). Adds ""ASC pin vs GND2 during the 850 V DPT"" to the DPT gate."
Cross-check,6,MINOR: (a) the gate-rail low corner omitted the US1M drop at peak current and the FB bias; (b) at KL30 ≳ 23 V the start feed covers I_DD and FFS becomes a light peak detector; (c) new FB-sense single-point faults.,Confirmed (model) / Improvement Recommended,,"(a) Low corner 13.54 V; the window row is WARN until the bench. (b) 24 V and 33 V at full gate load added to the bench gate. (c) Soft-termination MLCC for CF⟨HL⟩FS; resistor/diode opens go to the FMEDA, the same class as A.6's ""divider open""."
Cross-check,7,MINOR: ASC exit with DASC,Not Applicable after item 1,,FW-06a rewritten anyway (clear while PWM-ASC holds).
Cross-check,8,"MINOR: lock-ins that would miss a regression (FFD node, RASCG/RASCPD values, label-keyed pins, an over-broad message).",Confirmed,,Lock-ins keyed by pin number; FFD/FVCC separation; RASCG/RASCPD values; message corrected. Mutation-tested.
Cross-check,9,NOTE: the FW-06 row booked the ASC entry at the regen slope.,Confirmed (model),,All-off window at I_pk/C: 905 / 542 V (still 90 % of U_N).
Cross-check,10,"NOTE: CCLR X7R margin, the Nexperia flip-flop DS not archived, doc drift.",Confirmed,,"CCLR C0G (one-shot 72–210 µs). The Nexperia 74LVC1G74-Q100 Rev 7 Table 4 was read (SD=RD=L ⇒ Q = Q̅ = H, the same as TI), and its URL is recorded in EXTRACTED-PARAMS §25. Doc numbers corrected."
Cross-check,P1,Pre-existing: FAULT_OUT had no protection; a 12 V pull-up or a KL30 short overdrove the latch input.,Confirmed,,Covered by item 2 (DFO + DSET). NXP's 10 nF/22 nF EMC network is an EMC-phase item.
Cross-check,P2,Pre-existing: FS1B-ASC and the fault-latch path run with EN low (LS DESAT undocumented).,Confirmed,,§4c/§6 rewritten; FW-12 limits FS1B-ASC; NOVOSENSE statement is a release gate.
Cross-check,P3,Pre-existing: no MCU read-back of DRV_EN or ASC_CMD.,Confirmed,,Read-backs added (item 4).
Cross-check,P4,Pre-existing: MCU pins that drive 5 V logic must sit on the 5 V I/O domain (the one-shot needs a ≥ 4 V step).,Improvement Recommended,,Added to the A6-R12 pin-binding gate.
Cross-check,P5,Pre-existing: TLP152 operating ambient is 100 °C max.,Improvement Recommended,,"Added to the N8 opto gate: confirm the power-board ambient, or use the SO6L reinforced alternative rated 125 °C."
Cross-check,P6,Pre-existing: the flyback control loop was never analysed (S1 is start-up only).,Improvement Recommended,,Load steps added to the gate-supply bench.
